Question,Correct Answer,Answer 2,Answer 3,Answer 4
Which movie won the Academy Award for Best Picture in 2000?,Gladiator,Erin Brockovich,Mission: Impossible II,The Sixth Sense
Which movie won the Academy Award for Best Picture in 2001?,A Beautiful Mind,LOTR: The Fellowship of the Ring,LOTR: The Two Towers,LOTR: The Return of the King
Which movie won the Academy Award for Best Picture in 2002?,Chicago,LOTR: The Two Towers,LOTR: The Fellowship of the Ring,LOTR: The Return of the King
Which movie won the Academy Award for Best Picture in 2003?,LOTR: The Return of the King,Seabiscuit,LOTR: The Two Towers,LOTR: The Fellowship of the Ring
Which movie won the Academy Award for Best Picture in 2004?,Million Dollar Baby,The Aviator,Shrek 2,Harry Potter & the Chamber of Secrets
Which movie won the Academy Award for Best Picture in 2005?,Crash,Brokeback Mountain,Harry Potter & the Goblet of Fire,King Kong
Which movie won the Academy Award for Best Picture in 2006?,The Departed,The Queen,Pirates of the Caribbean: Dead Man's Chest,Transformers
Which movie won the Academy Award for Best Picture in 2007?,No Country for Old Men,Juno,Pirates of the Caribbean: At World's End,Spider-Man 3
Which movie won the Academy Award for Best Picture in 2008?,Slumdog Millionaire,Milk,The Dark Knight,Iron Man
Which movie won the Academy Award for Best Picture in 2009?,The Hurt Locker,Avatar,Up,The Blind Side
Which movie won the Academy Award for Best Picture in 2010?,The King's Speech,127 Hours,Toy Story 3,Avatar
Which movie won the Academy Award for Best Picture in 2011?,The Artist,The Help,The Social Network,Moneyball
Which movie won the Academy Award for Best Picture in 2012?,Argo,Les Misérables,Zero Dark Thirty,The Avengers
Which movie won the Academy Award for Best Picture in 2013?,12 Years a Slave,Captain Phillips,Gravity,Frozen
Which movie won the Academy Award for Best Picture in 2014?,Birdman,The Imitation Game,Transformers: Age of Extinction,The Hobbit: The Battle of the Five Armies
Which movie won the Academy Award for Best Picture in 2015?,Spotlight,The Big Short,Star Wars: Ep 7 - The Force Awakens,Furious 7
Which movie won the Academy Award for Best Picture in 2016?,Moonlight,Hidden Figures,Captain America: Civil War,The Jungle Book
Which movie won the Academy Award for Best Picture in 2017?,The Shape of Water,Get Out,The Martian,Beauty and the Beast
